,ID,Name,Age,Nationality,Overall,Potential,Club,Value,Wage,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Curve,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,Release Clause
45,195864,P. Pogba,25,France,87,91,Manchester United,€64M,€210K,Right,4,4,5,2021,6'4,185lbs,80,73,73,86,85,84,90,90,71,79,74,81,64,90,83,88,89,81,78,66,81,87,81,87,66,70,68,€123.2M
46,193041,K. Navas,31,Costa Rica,87,87,Real Madrid,€30.5M,€195K,Right,3,3,1,2020,6'1,176lbs,11,15,11,30,11,11,37,19,54,53,60,84,61,21,74,39,75,13,32,20,16,68,25,67,28,14,14,€62.5M
47,192505,R. Lukaku,25,Belgium,87,89,Manchester United,€62.5M,€230K,Left,3,3,3,2022,6'3,207lbs,78,87,86,77,79,74,73,72,77,90,60,86,46,88,71,84,94,74,75,27,89,76,78,83,30,30,30,€120.3M
48,192387,C. Immobile,28,Italy,87,87,Lazio,€52M,€115K,Right,3,4,3,2023,6'1,187lbs,55,90,81,74,87,70,49,83,78,85,77,87,63,86,77,80,76,80,77,40,91,65,78,81,34,33,32,€88.4M
49,189332,Jordi Alba,29,Spain,87,87,FC Barcelona,€38M,€250K,Left,3,3,3,2020,5'7,150lbs,87,73,70,84,60,80,74,84,93,93,90,83,85,64,81,91,61,66,75,84,79,70,59,79,72,84,85,€77.9M
50,175943,D. Mertens,31,Belgium,87,87,Napoli,€45M,€135K,Right,3,4,4,2020,5'7,134lbs,77,86,35,82,70,82,74,89,93,85,94,88,92,80,60,75,42,81,59,36,87,83,79,81,25,40,40,€76.5M
51,172871,J. Vertonghen,31,Belgium,87,87,Tottenham Hotspur,€34M,€155K,Left,3,3,3,2019,6'2,190lbs,68,56,80,79,52,58,74,76,61,65,61,84,60,80,85,75,79,66,84,89,60,68,66,83,90,87,88,€62.9M
52,171877,M. Hamšík,30,Slovakia,87,87,Napoli,€46.5M,€125K,Right,3,5,3,2020,6'0,174lbs,78,79,74,88,79,80,83,87,69,68,76,88,66,82,71,84,67,83,56,72,88,86,70,84,75,73,62,€79.1M
53,168651,I. Rakitić,30,Croatia,87,87,FC Barcelona,€46.5M,€260K,Right,4,3,3,2021,6'0,172lbs,84,83,58,87,80,88,90,87,66,59,72,77,66,84,39,84,66,90,67,75,79,86,82,81,72,74,70,€95.3M
54,152729,Piqué,31,Spain,87,87,FC Barcelona,€34M,€240K,Right,4,3,2,2022,6'4,187lbs,57,64,83,81,57,58,80,78,49,60,58,84,36,62,74,65,83,51,72,88,58,62,69,86,91,86,84,€69.7M
55,222492,L. Sané,22,Germany,86,92,Manchester City,€61M,€195K,Left,2,3,4,2021,6'0,165lbs,83,81,72,79,85,82,64,85,93,96,88,81,81,86,64,79,70,78,61,34,84,82,71,78,36,32,35,€125.1M
56,218667,Bernardo Silva,23,Portugal,86,91,Manchester City,€59.5M,€180K,Left,2,3,4,2022,5'8,141lbs,85,75,51,85,69,83,79,91,84,74,90,82,88,70,50,78,48,72,58,49,83,86,68,85,49,44,35,€114.5M
57,210257,Ederson,24,Brazil,86,90,Manchester City,€41.5M,€125K,Left,2,3,1,2025,6'2,190lbs,20,14,14,56,18,15,58,37,64,63,60,86,48,42,58,41,68,18,35,25,20,67,17,70,28,15,8,€79.9M
58,208722,S. Mané,26,Senegal,86,87,Liverpool,€52M,€195K,Right,3,4,4,2023,5'9,152lbs,73,84,62,79,71,74,71,86,95,93,91,86,86,82,75,84,67,74,73,35,87,82,71,80,42,42,38,€102.7M
59,203376,V. van Dijk,26,Netherlands,86,88,Liverpool,€44.5M,€165K,Right,3,3,2,2023,6'4,203lbs,53,52,82,76,45,60,78,73,74,77,61,85,49,81,85,71,92,64,81,86,41,59,62,83,88,89,84,€87.9M
60,202652,R. Sterling,23,England,86,89,Manchester City,€56.5M,€195K,Right,3,3,4,2023,5'7,152lbs,77,77,38,84,67,70,69,87,95,92,93,87,93,73,57,78,52,73,38,30,87,77,69,77,47,58,54,€108.8M
61,201942,Roberto Firmino,26,Brazil,86,87,Liverpool,€53M,€195K,Right,3,4,4,2023,5'11,168lbs,72,87,77,86,81,80,75,88,78,77,80,86,81,81,81,90,74,76,73,58,87,85,72,87,60,64,42,€104.7M
62,201535,R. Varane,25,France,86,91,Real Madrid,€50M,€210K,Right,3,3,2,2022,6'3,179lbs,36,40,83,75,42,46,76,77,83,85,63,83,40,52,79,73,84,53,77,82,44,56,43,82,87,88,87,€106.3M
63,199556,M. Verratti,25,Italy,86,89,Paris Saint-Germain,€55M,€135K,Right,3,4,4,2021,5'5,132lbs,72,60,55,90,64,73,89,88,69,62,87,85,94,56,64,77,52,58,89,84,71,87,64,93,78,83,80,€105.9M
64,191043,Alex Sandro,27,Brazil,86,86,Juventus,€36.5M,€160K,Left,3,3,3,2020,5'11,176lbs,84,55,76,81,68,78,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,€60.2M
65,190483,Douglas Costa,27,Brazil,86,86,Juventus,€46.5M,€175K,Left,3,3,5,2022,5'8,154lbs,84,67,50,84,76,84,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,€76.7M
66,189596,T. Müller,28,Germany,86,86,FC Bayern München,€45M,€135K,Right,4,4,3,2021,6'1,165lbs,79,87,82,83,84,81,72,82,73,75,75,91,72,78,81,87,68,80,57,58,92,85,60,83,44,41,44,€74.3M
67,189509,Thiago,27,Spain,86,86,FC Bayern München,€45.5M,€130K,Right,3,3,5,2021,5'9,154lbs,72,69,54,90,90,85,87,90,78,69,90,84,86,75,75,75,59,79,57,78,79,86,75,85,67,63,65,€75.1M
68,188350,M. Reus,29,Germany,86,86,Borussia Dortmund,€43.5M,€100K,Right,4,4,4,2023,5'11,157lbs,79,87,49,86,90,89,75,86,86,85,86,87,81,88,70,73,67,86,49,50,88,86,89,84,47,36,45,€74M
69,184432,Azpilicueta,28,Spain,86,86,Chelsea,€35M,€175K,Right,3,3,2,2022,5'10,168lbs,81,46,76,81,51,68,80,77,76,76,72,88,73,68,76,87,71,60,82,89,62,74,66,78,88,90,86,€64.8M
70,184344,L. Bonucci,31,Italy,86,86,Juventus,€30M,€160K,Right,3,3,2,2023,6'3,187lbs,44,48,86,77,58,56,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,€49.5M
71,184087,T. Alderweireld,29,Belgium,86,87,Tottenham Hotspur,€39M,€150K,Right,3,3,2,2020,6'1,179lbs,64,45,82,79,38,63,85,74,61,66,60,86,50,78,84,74,79,65,80,87,58,67,58,81,90,91,86,€75.1M
72,180206,M. Pjanić,28,Bosnia Herzegovina,86,86,Juventus,€44M,€180K,Right,3,4,3,2023,5'10,159lbs,80,60,60,89,72,86,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,€72.6M
73,177509,M. Benatia,31,Morocco,86,86,Juventus,€30M,€160K,Right,3,3,2,2020,6'2,207lbs,45,47,83,65,44,34,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,€49.5M
74,176635,M. Özil,29,Germany,86,86,Arsenal,€43.5M,€190K,Left,4,2,4,2021,5'11,168lbs,83,73,54,89,80,84,82,90,72,69,79,84,70,70,48,69,57,75,48,24,83,91,67,82,24,16,19,€82.7M
75,135507,Fernandinho,33,Brazil,86,86,Manchester City,€18M,€185K,Right,3,4,3,2020,5'10,148lbs,68,69,63,85,74,70,81,82,68,67,72,86,78,83,76,79,76,78,87,88,70,75,61,79,85,85,80,€33.3M
76,41,Iniesta,34,Spain,86,86,Vissel Kobe,€21.5M,€21K,Right,4,4,4,2021,5'7,150lbs,77,70,54,90,74,80,85,92,70,67,79,86,84,65,47,55,58,71,58,66,81,93,71,89,67,57,56,€26.9M
77,232363,M. Škriniar,23,Slovakia,85,92,Inter,€46.5M,€82K,Right,1,4,2,2022,6'2,176lbs,40,42,80,70,40,34,68,67,70,73,48,81,48,50,78,77,83,30,86,86,30,57,56,80,92,88,82,€88.4M
78,223848,S. Milinković-Savić,23,Serbia,85,90,Lazio,€50.5M,€73K,Right,2,4,4,2023,6'3,168lbs,64,80,86,85,74,78,85,87,68,70,66,80,59,83,85,85,88,80,73,78,79,85,56,82,75,77,72,€89.6M
79,220834,Marco Asensio,22,Spain,85,92,Real Madrid,€54M,€215K,Left,3,3,4,2023,6'0,168lbs,82,82,50,83,79,83,82,85,85,82,79,82,76,86,58,76,61,88,45,45,82,84,62,83,40,42,39,€121.5M
80,216594,N. Fekir,24,France,85,89,Olympique Lyonnais,€50M,€92K,Left,3,3,4,2020,5'8,165lbs,83,82,49,83,77,81,75,89,79,79,90,80,91,84,69,80,82,82,73,28,81,81,81,89,31,37,25,€98.8M
81,212831,Alisson,25,Brazil,85,90,Liverpool,€36.5M,€115K,Right,3,3,1,2024,6'3,201lbs,17,13,19,45,20,19,44,30,54,45,40,84,37,21,52,32,78,14,27,11,13,66,23,65,15,19,16,€72.1M
82,212622,J. Kimmich,23,Germany,85,88,FC Bayern München,€40.5M,€92K,Right,3,4,3,2023,5'9,154lbs,90,66,74,85,61,81,80,85,78,68,84,85,83,75,79,85,65,69,74,79,80,79,44,82,75,81,79,€69.9M
83,208421,Saúl,23,Spain,85,90,Atlético Madrid,€50.5M,€77K,Left,3,4,3,2026,6'0,170lbs,69,78,83,85,76,72,83,85,74,73,76,82,69,78,79,86,77,79,69,78,82,82,55,83,77,79,76,€107.3M
84,204485,R. Mahrez,27,Algeria,85,85,Manchester City,€40.5M,€205K,Left,3,4,5,2023,5'10,148lbs,81,80,48,82,72,84,76,90,88,83,93,77,88,79,61,76,54,81,48,39,80,81,73,86,45,31,18,€74.9M
85,197445,D. Alaba,26,Austria,85,87,FC Bayern München,€38M,€110K,Left,4,4,3,2021,5'11,168lbs,81,63,75,82,68,78,80,83,79,86,79,84,77,83,82,87,71,82,69,84,76,77,80,79,80,82,80,€65.6M
86,193747,Koke,26,Spain,85,86,Atlético Madrid,€45M,€88K,Right,3,4,3,2019,5'9,163lbs,86,72,61,90,56,85,89,86,71,68,74,85,78,84,61,90,79,81,71,66,84,87,59,78,80,69,51,€95.6M
87,193301,A. Lacazette,27,France,85,86,Arsenal,€45M,€180K,Right,3,4,4,2022,5'9,161lbs,64,88,73,80,81,74,59,83,81,84,85,85,85,83,76,79,73,75,70,42,86,76,84,85,29,42,30,€88.9M
88,192774,K. Manolas,27,Greece,85,87,Roma,€37.5M,€96K,Right,3,2,2,2022,6'2,183lbs,27,10,80,60,16,30,61,65,80,85,68,85,59,40,86,76,82,12,86,86,25,22,26,79,86,87,89,€66.6M
89,192366,N. Otamendi,30,Argentina,85,85,Manchester City,€28.5M,€170K,Right,3,3,2,2022,6'0,179lbs,52,54,85,75,57,50,72,70,57,61,64,79,62,69,92,67,80,56,91,84,51,53,45,80,83,85,84,€52.7M
90,189513,Parejo,29,Spain,85,85,Valencia CF,€37M,€66K,Right,2,4,3,2020,6'0,163lbs,84,79,61,90,72,89,87,84,51,43,66,78,72,78,51,78,72,82,58,81,81,86,83,78,69,68,60,€77.7M
91,187961,Paulinho,29,Brazil,85,85,Guangzhou Evergrande Taobao FC,€37M,€235K,Right,3,3,3,"Jun 30, 2019",6'0,157lbs,64,81,85,84,75,66,80,84,73,73,69,84,66,83,90,92,81,80,81,81,84,78,71,80,75,81,73,
92,186153,W. Szczęsny,28,Poland,85,87,Juventus,€32M,€125K,Right,3,3,1,2021,6'5,198lbs,12,12,16,32,14,16,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12,€55.2M
93,184941,A. Sánchez,29,Chile,85,85,Manchester United,€37.5M,€215K,Right,4,3,4,2022,5'7,163lbs,77,80,73,77,83,79,75,86,86,79,90,83,87,84,87,83,72,81,79,46,84,82,77,84,38,44,35,€69.4M
94,184267,Y. Brahimi,28,Algeria,85,85,FC Porto,€39M,€28K,Right,3,3,4,2019,5'9,146lbs,79,76,46,79,73,84,72,86,87,75,92,84,87,69,72,85,49,76,46,38,83,79,75,90,51,36,25,€78M
95,183907,J. Boateng,29,Germany,85,85,FC Bayern München,€30M,€115K,Right,4,4,2,2021,6'4,198lbs,69,34,85,75,52,53,83,70,67,72,56,82,52,78,74,69,91,58,81,81,47,75,46,84,84,87,87,€49.5M
96,181872,A. Vidal,31,Chile,85,85,FC Barcelona,€26M,€205K,Right,4,4,3,2021,5'11,165lbs,76,75,82,83,78,76,79,82,60,55,74,84,75,86,85,83,79,85,93,84,80,80,81,81,82,87,86,€53.3M
97,181458,I. Perišić,29,Croatia,85,85,Inter,€37.5M,€110K,Right,3,5,4,2022,6'1,176lbs,83,79,80,81,81,73,77,85,84,88,78,81,74,84,84,89,78,79,65,69,85,79,76,80,64,52,54,€63.8M
98,180930,E. Džeko,32,Bosnia Herzegovina,85,85,Roma,€30.5M,€115K,Right,3,5,2,2020,6'4,185lbs,63,89,84,77,77,65,72,84,65,66,57,83,36,86,66,76,80,79,51,50,89,74,67,83,58,28,16,€51.9M
99,179846,S. Khedira,31,Germany,85,85,Juventus,€33M,€160K,Right,3,4,2,2021,6'2,198lbs,72,72,76,85,78,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76,€54.5M
100,179844,Diego Costa,29,Spain,85,85,Atlético Madrid,€38.5M,€100K,Right,4,4,2,2021,6'2,190lbs,65,87,82,65,81,62,52,83,74,76,58,85,53,83,64,76,92,74,93,40,87,74,75,83,58,39,34,€78.9M
101,178518,R. Nainggolan,30,Belgium,85,85,Inter,€35.5M,€105K,Right,3,3,3,2022,5'9,170lbs,73,75,59,84,75,73,81,85,78,73,76,87,82,84,76,93,77,86,88,86,86,76,63,84,83,86,90,€60.4M
102,171919,Naldo,35,Brazil,85,85,FC Schalke 04,€9M,€38K,Right,3,4,2,2020,6'6,201lbs,45,57,94,76,60,52,70,68,60,65,46,85,36,92,45,61,83,82,72,83,53,59,60,84,86,88,85,€15.3M
103,170890,B. Matuidi,31,France,85,85,Juventus,€26M,€145K,Left,3,2,2,2020,5'11,165lbs,75,64,68,83,72,65,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86,€42.9M
104,168609,Miranda,33,Brazil,85,85,Inter,€15.5M,€96K,Right,3,3,2,2020,6'1,172lbs,48,43,80,70,51,32,69,73,66,69,61,81,57,70,82,65,79,41,83,85,43,58,49,81,90,90,85,€26.4M
105,165153,K. Benzema,30,France,85,85,Real Madrid,€37M,€240K,Right,4,4,4,2021,6'1,179lbs,75,81,80,83,82,79,62,86,76,76,76,83,66,81,73,75,80,75,65,22,86,85,82,79,47,15,12,€75.9M
106,164169,Filipe Luís,32,Brazil,85,85,Atlético Madrid,€21.5M,€81K,Left,3,3,3,2019,6'0,163lbs,86,59,72,80,56,74,77,83,76,75,75,85,62,71,71,89,74,60,81,84,71,70,65,88,78,84,86,€44.1M
107,139720,V. Kompany,32,Belgium,85,85,Manchester City,€22M,€170K,Right,4,3,2,2019,6'3,187lbs,61,45,84,73,46,61,66,70,52,59,57,87,41,75,72,66,87,55,87,82,41,59,63,81,87,85,84,€40.7M
108,120533,Pepe,35,Portugal,85,85,Beşiktaş JK,€9M,€57K,Right,4,3,2,2019,6'2,179lbs,46,46,80,70,23,44,61,62,65,70,63,83,49,63,76,60,86,56,94,85,40,48,57,79,86,85,82,€17.1M
109,41236,Z. Ibrahimović,36,Sweden,85,85,LA Galaxy,€14M,€15K,Right,5,4,5,2022,6'5,209lbs,73,86,83,79,86,82,73,84,58,59,75,82,39,90,68,61,86,82,84,20,85,79,89,90,28,37,24,€21M
110,220793,D. Sánchez,22,Colombia,84,88,Tottenham Hotspur,€34M,€105K,Right,2,3,2,2024,6'2,174lbs,36,40,80,77,28,30,67,73,72,79,60,80,55,66,73,76,83,44,87,82,34,49,44,75,84,85,88,€65.5M
111,216460,J. Giménez,23,Uruguay,84,88,Atlético Madrid,€34M,€63K,Right,2,3,2,2023,6'1,176lbs,47,37,81,68,30,36,58,56,69,70,56,76,43,72,92,67,85,48,89,85,24,27,38,73,88,86,87,€72.3M
112,212462,Alex Telles,25,Brazil,84,87,FC Porto,€32M,€22K,Left,3,2,3,2021,5'11,157lbs,89,65,74,83,67,87,86,82,84,85,73,83,70,80,81,92,68,75,78,80,76,74,68,80,80,81,79,€66.4M
